id_pelanggan,nama,jenis_kelamin,tanggal_lahir,alamat,kota,telepon,email
59,Customer 59,Perempuan,1964-11-25,Jl. Pelanggan No. 24,Denpasar,89809655189,user59@email.com
60,Customer 60,Lainnya,1953-03-31,Jl. Pelanggan No. 186,Yogyakarta,85610783750,user60@email.com
61,Customer 61,Lainnya,1970-08-24,Jl. Pelanggan No. 282,Yogyakarta,83624410325,user61@email.com
62,Customer 62,Laki-laki,1946-07-31,Jl. Pelanggan No. 202,Semarang,89327720702,user62@email.com
63,Customer 63,Laki-laki,1953-07-18,Jl. Pelanggan No. 261,Denpasar,83147818256,user63@email.com
64,Customer 64,Laki-laki,1942-08-25,Jl. Pelanggan No. 71,Semarang,88747974356,user64@email.com
65,Customer 65,Lainnya,1971-02-05,Jl. Pelanggan No. 77,Surabaya,87928074841,user65@email.com
66,Customer 66,Laki-laki,1966-09-27,Jl. Pelanggan No. 154,Semarang,87712708591,user66@email.com
67,Customer 67,Perempuan,1995-07-06,Jl. Pelanggan No. 9,Semarang,83702653209,user67@email.com
68,Customer 68,Lainnya,1972-04-18,Jl. Pelanggan No. 136,Medan,84098389895,user68@email.com
69,Customer 69,Lainnya,1972-09-10,Jl. Pelanggan No. 88,Denpasar,83923699745,user69@email.com
70,Customer 70,Laki-laki,1978-12-18,Jl. Pelanggan No. 57,Medan,85376302686,user70@email.com
71,Customer 71,Perempuan,1968-06-30,Jl. Pelanggan No. 78,Denpasar,83965676060,user71@email.com
72,Customer 72,Perempuan,1974-02-23,Jl. Pelanggan No. 242,Jakarta,84031281545,user72@email.com
73,Customer 73,Lainnya,1954-02-09,Jl. Pelanggan No. 288,Semarang,86913417379,user73@email.com
74,Customer 74,Laki-laki,1971-04-12,Jl. Pelanggan No. 273,Semarang,87641192909,user74@email.com
75,Customer 75,Lainnya,1992-07-13,Jl. Pelanggan No. 136,Makassar,86353758928,user75@email.com
76,Customer 76,Lainnya,1960-04-24,Jl. Pelanggan No. 116,Yogyakarta,88607135564,user76@email.com
77,Customer 77,Lainnya,1954-02-07,Jl. Pelanggan No. 251,Semarang,87355707297,user77@email.com
78,Customer 78,Lainnya,2003-07-16,Jl. Pelanggan No. 141,Yogyakarta,89504724761,user78@email.com
79,Customer 79,Perempuan,2004-12-16,Jl. Pelanggan No. 75,Yogyakarta,85475641477,user79@email.com
80,Customer 80,Lainnya,1945-05-18,Jl. Pelanggan No. 178,Makassar,88112345816,user80@email.com
81,Customer 81,Lainnya,1972-08-07,Jl. Pelanggan No. 110,Medan,82166605339,user81@email.com
82,Customer 82,Laki-laki,1981-11-23,Jl. Pelanggan No. 123,Medan,89807970435,user82@email.com
83,Customer 83,Lainnya,1955-05-11,Jl. Pelanggan No. 120,Jakarta,85725314249,user83@email.com
84,Customer 84,Perempuan,1988-10-25,Jl. Pelanggan No. 242,Bandung,81590416424,user84@email.com
85,Customer 85,Lainnya,2003-03-23,Jl. Pelanggan No. 81,Denpasar,87338081696,user85@email.com
86,Customer 86,Lainnya,1953-07-28,Jl. Pelanggan No. 148,Semarang,84301648719,user86@email.com
87,Customer 87,Lainnya,1979-01-26,Jl. Pelanggan No. 119,Jakarta,86046864799,user87@email.com
88,Customer 88,Laki-laki,2003-07-21,Jl. Pelanggan No. 19,Denpasar,88679232444,user88@email.com
89,Customer 89,Laki-laki,2003-09-26,Jl. Pelanggan No. 149,Jakarta,85334769475,user89@email.com
90,Customer 90,Lainnya,1981-01-07,Jl. Pelanggan No. 55,Semarang,86517150278,user90@email.com
91,Customer 91,Lainnya,1976-12-20,Jl. Pelanggan No. 269,Makassar,87460544248,user91@email.com
92,Customer 92,Perempuan,1953-02-13,Jl. Pelanggan No. 58,Semarang,81799718923,user92@email.com
93,Customer 93,Lainnya,1962-12-09,Jl. Pelanggan No. 152,Medan,89147736635,user93@email.com
94,Customer 94,Perempuan,1975-01-24,Jl. Pelanggan No. 168,Bandung,81409675904,user94@email.com
95,Customer 95,Laki-laki,1972-06-28,Jl. Pelanggan No. 166,Medan,85324302451,user95@email.com
96,Customer 96,Perempuan,1956-01-10,Jl. Pelanggan No. 229,Yogyakarta,89392515666,user96@email.com
97,Customer 97,Perempuan,1979-08-21,Jl. Pelanggan No. 294,Jakarta,82014911848,user97@email.com
98,Customer 98,Lainnya,1948-01-17,Jl. Pelanggan No. 239,Yogyakarta,85980945846,user98@email.com
99,Customer 99,Lainnya,1974-03-13,Jl. Pelanggan No. 160,Bandung,89334966533,user99@email.com
100,Customer 100,Perempuan,1981-10-28,Jl. Pelanggan No. 114,Medan,85111832212,user100@email.com
101,Customer 101,Perempuan,1950-06-04,Jl. Pelanggan No. 233,Semarang,89941564880,user101@email.com
102,Customer 102,Perempuan,1975-12-10,Jl. Pelanggan No. 186,Bandung,81481933114,user102@email.com
103,Customer 103,Lainnya,2001-06-10,Jl. Pelanggan No. 259,Medan,81643611097,user103@email.com
104,Customer 104,Perempuan,1998-02-23,Jl. Pelanggan No. 267,Makassar,87799567490,user104@email.com
105,Customer 105,Laki-laki,2001-03-03,Jl. Pelanggan No. 262,Makassar,84473306055,user105@email.com
106,Customer 106,Perempuan,1948-12-23,Jl. Pelanggan No. 263,Denpasar,89837912162,user106@email.com
107,Customer 107,Perempuan,1985-10-12,Jl. Pelanggan No. 158,Jakarta,86995554056,user107@email.com
108,Customer 108,Laki-laki,1990-10-02,Jl. Pelanggan No. 112,Bandung,85489485517,user108@email.com
109,Customer 109,Perempuan,1987-08-30,Jl. Pelanggan No. 33,Jakarta,89305502799,user109@email.com
110,Customer 110,Laki-laki,1959-07-15,Jl. Pelanggan No. 210,Surabaya,84302709858,user110@email.com
111,Customer 111,Lainnya,1989-08-17,Jl. Pelanggan No. 216,Semarang,86937704752,user111@email.com
112,Customer 112,Perempuan,1965-07-24,Jl. Pelanggan No. 42,Surabaya,82493660313,user112@email.com
113,Customer 113,Laki-laki,1976-07-23,Jl. Pelanggan No. 202,Surabaya,86576426590,user113@email.com
114,Customer 114,Lainnya,1988-12-07,Jl. Pelanggan No. 279,Denpasar,87579604766,user114@email.com
115,Customer 115,Laki-laki,1956-11-03,Jl. Pelanggan No. 236,Semarang,85961208540,user115@email.com
116,Customer 116,Laki-laki,2003-10-16,Jl. Pelanggan No. 58,Jakarta,81067198189,user116@email.com
117,Customer 117,Laki-laki,1944-07-30,Jl. Pelanggan No. 52,Jakarta,84746123831,user117@email.com
118,Customer 118,Laki-laki,1990-05-24,Jl. Pelanggan No. 23,Denpasar,82885330933,user118@email.com
119,Customer 119,Lainnya,1954-10-14,Jl. Pelanggan No. 29,Surabaya,82242377075,user119@email.com
120,Customer 120,Lainnya,1979-03-16,Jl. Pelanggan No. 164,Semarang,86312462377,user120@email.com
121,Customer 121,Laki-laki,1984-12-04,Jl. Pelanggan No. 267,Medan,87071194857,user121@email.com
122,Customer 122,Perempuan,1944-02-24,Jl. Pelanggan No. 286,Surabaya,83128675098,user122@email.com
123,Customer 123,Perempuan,2004-01-28,Jl. Pelanggan No. 196,Semarang,88285589122,user123@email.com
124,Customer 124,Perempuan,1950-02-25,Jl. Pelanggan No. 154,Denpasar,87605351600,user124@email.com
125,Customer 125,Laki-laki,1997-10-18,Jl. Pelanggan No. 116,Yogyakarta,89837427517,user125@email.com
126,Customer 126,Perempuan,2005-11-09,Jl. Pelanggan No. 214,Surabaya,82668247132,user126@email.com
127,Customer 127,Perempuan,1953-11-01,Jl. Pelanggan No. 170,Bandung,89255898264,user127@email.com
128,Customer 128,Perempuan,1946-04-17,Jl. Pelanggan No. 275,Medan,85516315438,user128@email.com
129,Customer 129,Perempuan,1985-11-04,Jl. Pelanggan No. 21,Bandung,83400244542,user129@email.com
130,Customer 130,Perempuan,1954-03-19,Jl. Pelanggan No. 171,Yogyakarta,81065857791,user130@email.com
131,Customer 131,Laki-laki,2005-06-20,Jl. Pelanggan No. 61,Makassar,84927495468,user131@email.com
132,Customer 132,Lainnya,1981-02-16,Jl. Pelanggan No. 105,Denpasar,84930438209,user132@email.com
133,Customer 133,Lainnya,1961-11-19,Jl. Pelanggan No. 145,Denpasar,88081204252,user133@email.com
134,Customer 134,Perempuan,1957-10-19,Jl. Pelanggan No. 185,Makassar,83001472250,user134@email.com
135,Customer 135,Lainnya,1971-12-13,Jl. Pelanggan No. 164,Medan,86887132821,user135@email.com
136,Customer 136,Perempuan,1943-02-10,Jl. Pelanggan No. 289,Medan,84183654731,user136@email.com
137,Customer 137,Laki-laki,1957-09-29,Jl. Pelanggan No. 284,Denpasar,82267841227,user137@email.com
138,Customer 138,Laki-laki,1962-06-12,Jl. Pelanggan No. 118,Denpasar,86350369667,user138@email.com
139,Customer 139,Lainnya,1984-07-18,Jl. Pelanggan No. 173,Yogyakarta,88471499716,user139@email.com
140,Customer 140,Perempuan,1951-06-13,Jl. Pelanggan No. 181,Surabaya,87642365889,user140@email.com
141,Customer 141,Laki-laki,2002-05-24,Jl. Pelanggan No. 278,Jakarta,83250324141,user141@email.com
142,Customer 142,Laki-laki,2004-04-26,Jl. Pelanggan No. 25,Jakarta,82771211118,user142@email.com
143,Customer 143,Lainnya,1955-10-01,Jl. Pelanggan No. 35,Surabaya,81039262289,user143@email.com
144,Customer 144,Lainnya,1971-01-12,Jl. Pelanggan No. 192,Jakarta,83095318649,user144@email.com
145,Customer 145,Laki-laki,1976-03-20,Jl. Pelanggan No. 283,Denpasar,81050899550,user145@email.com
146,Customer 146,Lainnya,1989-02-22,Jl. Pelanggan No. 141,Yogyakarta,89663561486,user146@email.com
147,Customer 147,Lainnya,1985-11-13,Jl. Pelanggan No. 221,Surabaya,81639509845,user147@email.com
148,Customer 148,Laki-laki,1982-03-05,Jl. Pelanggan No. 270,Yogyakarta,88796286443,user148@email.com
149,Customer 149,Perempuan,1994-02-04,Jl. Pelanggan No. 204,Bandung,87038841740,user149@email.com
150,Customer 150,Lainnya,1956-07-19,Jl. Pelanggan No. 116,Yogyakarta,84641561499,user150@email.com
151,Customer 151,Lainnya,1998-05-27,Jl. Pelanggan No. 17,Bandung,87035624331,user151@email.com
152,Customer 152,Perempuan,1977-08-11,Jl. Pelanggan No. 244,Jakarta,83734812163,user152@email.com
153,Customer 153,Lainnya,1951-08-30,Jl. Pelanggan No. 43,Makassar,88925631115,user153@email.com
154,Customer 154,Lainnya,1993-05-17,Jl. Pelanggan No. 170,Bandung,84947728706,user154@email.com
155,Customer 155,Laki-laki,1954-05-21,Jl. Pelanggan No. 291,Makassar,82164344392,user155@email.com
156,Customer 156,Laki-laki,1986-07-29,Jl. Pelanggan No. 144,Jakarta,88947526020,user156@email.com
157,Customer 157,Laki-laki,2005-06-05,Jl. Pelanggan No. 107,Surabaya,85625411308,user157@email.com
158,Customer 158,Laki-laki,1978-05-18,Jl. Pelanggan No. 124,Denpasar,87616665277,user158@email.com
159,Customer 159,Perempuan,1991-06-02,Jl. Pelanggan No. 72,Bandung,89479654136,user159@email.com
160,Customer 160,Laki-laki,1946-08-24,Jl. Pelanggan No. 224,Medan,84602080228,user160@email.com
161,Customer 161,Perempuan,1981-03-07,Jl. Pelanggan No. 204,Semarang,89717175839,user161@email.com
162,Customer 162,Perempuan,1993-04-27,Jl. Pelanggan No. 231,Makassar,86274814220,user162@email.com
163,Customer 163,Lainnya,2004-01-17,Jl. Pelanggan No. 193,Denpasar,82632399901,user163@email.com
164,Customer 164,Lainnya,1960-02-06,Jl. Pelanggan No. 127,Bandung,85647317872,user164@email.com
165,Customer 165,Laki-laki,1965-11-09,Jl. Pelanggan No. 79,Denpasar,86655089949,user165@email.com
166,Customer 166,Laki-laki,1946-03-24,Jl. Pelanggan No. 3,Yogyakarta,87205093305,user166@email.com
167,Customer 167,Perempuan,1946-12-15,Jl. Pelanggan No. 68,Bandung,86099808894,user167@email.com
168,Customer 168,Perempuan,1977-11-25,Jl. Pelanggan No. 285,Denpasar,81443639751,user168@email.com
169,Customer 169,Laki-laki,1964-01-31,Jl. Pelanggan No. 284,Bandung,88664105957,user169@email.com
170,Customer 170,Perempuan,1940-11-02,Jl. Pelanggan No. 150,Denpasar,89953716239,user170@email.com
171,Customer 171,Lainnya,2001-08-07,Jl. Pelanggan No. 125,Surabaya,88238377072,user171@email.com
172,Customer 172,Laki-laki,1949-06-12,Jl. Pelanggan No. 138,Yogyakarta,86447765697,user172@email.com
173,Customer 173,Laki-laki,1944-04-21,Jl. Pelanggan No. 86,Denpasar,86480214504,user173@email.com
174,Customer 174,Perempuan,1972-12-13,Jl. Pelanggan No. 40,Semarang,87979466538,user174@email.com
175,Customer 175,Lainnya,1981-12-18,Jl. Pelanggan No. 101,Makassar,81459442845,user175@email.com
176,Customer 176,Perempuan,1940-06-17,Jl. Pelanggan No. 203,Semarang,88998080862,user176@email.com
177,Customer 177,Perempuan,1962-10-11,Jl. Pelanggan No. 221,Surabaya,86585327015,user177@email.com
178,Customer 178,Lainnya,2004-06-17,Jl. Pelanggan No. 103,Makassar,82349406919,user178@email.com
179,Customer 179,Perempuan,2005-12-02,Jl. Pelanggan No. 164,Yogyakarta,88013262671,user179@email.com
180,Customer 180,Lainnya,1993-03-19,Jl. Pelanggan No. 125,Semarang,86910112521,user180@email.com
181,Customer 181,Perempuan,1964-11-02,Jl. Pelanggan No. 59,Medan,83343459102,user181@email.com
182,Customer 182,Lainnya,1992-03-27,Jl. Pelanggan No. 282,Jakarta,84042413312,user182@email.com
183,Customer 183,Perempuan,1994-04-13,Jl. Pelanggan No. 150,Bandung,83144490990,user183@email.com
184,Customer 184,Lainnya,1960-08-09,Jl. Pelanggan No. 124,Yogyakarta,83828935922,user184@email.com
185,Customer 185,Lainnya,1968-10-16,Jl. Pelanggan No. 194,Bandung,87863073642,user185@email.com
186,Customer 186,Lainnya,1967-04-11,Jl. Pelanggan No. 274,Denpasar,83334938378,user186@email.com
187,Customer 187,Perempuan,1987-09-30,Jl. Pelanggan No. 275,Bandung,88149805821,user187@email.com
188,Customer 188,Laki-laki,1984-01-11,Jl. Pelanggan No. 23,Denpasar,88714753670,user188@email.com
189,Customer 189,Laki-laki,1940-09-19,Jl. Pelanggan No. 51,Yogyakarta,86244291385,user189@email.com
190,Customer 190,Perempuan,1966-08-13,Jl. Pelanggan No. 238,Surabaya,85400463094,user190@email.com
191,Customer 191,Laki-laki,1960-02-08,Jl. Pelanggan No. 213,Bandung,85903457537,user191@email.com
192,Customer 192,Perempuan,1963-05-06,Jl. Pelanggan No. 234,Medan,87533138437,user192@email.com
193,Customer 193,Perempuan,1972-05-27,Jl. Pelanggan No. 50,Makassar,87238213207,user193@email.com
194,Customer 194,Laki-laki,1960-06-07,Jl. Pelanggan No. 23,Bandung,84436189121,user194@email.com
195,Customer 195,Lainnya,1956-08-06,Jl. Pelanggan No. 265,Surabaya,83370436671,user195@email.com
196,Customer 196,Perempuan,1978-02-05,Jl. Pelanggan No. 219,Makassar,81792214339,user196@email.com
197,Customer 197,Lainnya,1984-09-23,Jl. Pelanggan No. 222,Denpasar,89715314442,user197@email.com
198,Customer 198,Lainnya,2000-02-04,Jl. Pelanggan No. 102,Makassar,87838460497,user198@email.com
199,Customer 199,Perempuan,1940-04-20,Jl. Pelanggan No. 110,Medan,84418828570,user199@email.com
200,Customer 200,Lainnya,1946-12-04,Jl. Pelanggan No. 275,Surabaya,86866036409,user200@email.com
201,Customer 201,Laki-laki,1971-02-19,Jl. Pelanggan No. 59,Yogyakarta,85785590330,user201@email.com
202,Customer 202,Perempuan,1997-07-15,Jl. Pelanggan No. 235,Surabaya,89953941533,user202@email.com
203,Customer 203,Laki-laki,1961-04-24,Jl. Pelanggan No. 61,Medan,82311597141,user203@email.com
204,Customer 204,Laki-laki,1965-05-27,Jl. Pelanggan No. 73,Denpasar,86942989052,user204@email.com
205,Customer 205,Laki-laki,1973-02-12,Jl. Pelanggan No. 276,Surabaya,83383331379,user205@email.com
206,Customer 206,Perempuan,1959-08-28,Jl. Pelanggan No. 72,Surabaya,85336127859,user206@email.com
207,Customer 207,Laki-laki,1953-04-11,Jl. Pelanggan No. 197,Makassar,87406913885,user207@email.com
208,Customer 208,Lainnya,1997-02-25,Jl. Pelanggan No. 228,Makassar,81718348264,user208@email.com
209,Customer 209,Lainnya,1942-02-06,Jl. Pelanggan No. 113,Yogyakarta,85435391625,user209@email.com
210,Customer 210,Laki-laki,1976-08-01,Jl. Pelanggan No. 148,Surabaya,88648220906,user210@email.com
211,Customer 211,Lainnya,1990-07-12,Jl. Pelanggan No. 254,Bandung,83459788151,user211@email.com
212,Customer 212,Perempuan,1992-09-29,Jl. Pelanggan No. 279,Semarang,84250372185,user212@email.com
213,Customer 213,Lainnya,1970-01-13,Jl. Pelanggan No. 280,Medan,89546021691,user213@email.com
214,Customer 214,Laki-laki,1990-01-31,Jl. Pelanggan No. 127,Yogyakarta,85433395802,user214@email.com
215,Customer 215,Perempuan,1963-09-20,Jl. Pelanggan No. 45,Makassar,84487036345,user215@email.com
216,Customer 216,Laki-laki,1995-03-03,Jl. Pelanggan No. 180,Denpasar,89844874547,user216@email.com
217,Customer 217,Perempuan,1976-03-21,Jl. Pelanggan No. 144,Surabaya,88318855178,user217@email.com
218,Customer 218,Perempuan,1978-12-22,Jl. Pelanggan No. 137,Bandung,83817053070,user218@email.com
219,Customer 219,Lainnya,1998-12-08,Jl. Pelanggan No. 68,Medan,86981604165,user219@email.com
220,Customer 220,Laki-laki,1979-04-17,Jl. Pelanggan No. 138,Denpasar,86906320181,user220@email.com
221,Customer 221,Laki-laki,1983-02-12,Jl. Pelanggan No. 48,Denpasar,86880115912,user221@email.com
222,Customer 222,Perempuan,1962-04-09,Jl. Pelanggan No. 298,Jakarta,89989974968,user222@email.com
223,Customer 223,Perempuan,1983-03-15,Jl. Pelanggan No. 184,Bandung,82708176663,user223@email.com
224,Customer 224,Perempuan,1996-02-17,Jl. Pelanggan No. 109,Makassar,86448324230,user224@email.com
225,Customer 225,Perempuan,1962-12-25,Jl. Pelanggan No. 281,Surabaya,81207916194,user225@email.com
226,Customer 226,Laki-laki,1982-08-11,Jl. Pelanggan No. 236,Jakarta,84683585586,user226@email.com
227,Customer 227,Perempuan,1971-01-24,Jl. Pelanggan No. 1,Denpasar,88086684009,user227@email.com
228,Customer 228,Laki-laki,1999-07-03,Jl. Pelanggan No. 141,Bandung,88106401208,user228@email.com
229,Customer 229,Perempuan,1945-08-10,Jl. Pelanggan No. 191,Surabaya,85517391943,user229@email.com
230,Customer 230,Lainnya,1960-10-15,Jl. Pelanggan No. 120,Denpasar,83815287619,user230@email.com
231,Customer 231,Lainnya,1946-06-23,Jl. Pelanggan No. 1,Medan,83047869247,user231@email.com
232,Customer 232,Laki-laki,1980-05-25,Jl. Pelanggan No. 116,Makassar,81039887139,user232@email.com
233,Customer 233,Lainnya,1963-05-19,Jl. Pelanggan No. 62,Denpasar,83980840461,user233@email.com
234,Customer 234,Perempuan,1944-10-26,Jl. Pelanggan No. 118,Denpasar,89973608649,user234@email.com
235,Customer 235,Laki-laki,1947-01-09,Jl. Pelanggan No. 161,Semarang,89078786223,user235@email.com
236,Customer 236,Laki-laki,1966-01-16,Jl. Pelanggan No. 69,Surabaya,89883760207,user236@email.com
237,Customer 237,Lainnya,1940-07-29,Jl. Pelanggan No. 85,Makassar,84213790202,user237@email.com
238,Customer 238,Perempuan,1981-12-03,Jl. Pelanggan No. 227,Medan,81431494396,user238@email.com
239,Customer 239,Laki-laki,1980-02-13,Jl. Pelanggan No. 197,Semarang,89432088993,user239@email.com
240,Customer 240,Perempuan,1993-10-31,Jl. Pelanggan No. 72,Medan,81361845490,user240@email.com
241,Customer 241,Lainnya,1980-11-23,Jl. Pelanggan No. 146,Jakarta,82295574037,user241@email.com
242,Customer 242,Lainnya,1981-04-20,Jl. Pelanggan No. 261,Medan,88506931282,user242@email.com
243,Customer 243,Perempuan,1983-12-21,Jl. Pelanggan No. 28,Medan,87420493866,user243@email.com
244,Customer 244,Laki-laki,1956-05-28,Jl. Pelanggan No. 256,Bandung,85199176431,user244@email.com
245,Customer 245,Perempuan,2003-07-21,Jl. Pelanggan No. 163,Surabaya,87102562415,user245@email.com
246,Customer 246,Lainnya,1986-06-22,Jl. Pelanggan No. 89,Makassar,84308701294,user246@email.com
247,Customer 247,Laki-laki,1979-12-20,Jl. Pelanggan No. 35,Jakarta,82126077199,user247@email.com
248,Customer 248,Laki-laki,2002-10-12,Jl. Pelanggan No. 31,Denpasar,87470843264,user248@email.com
249,Customer 249,Lainnya,1988-06-29,Jl. Pelanggan No. 257,Denpasar,82727768349,user249@email.com
250,Customer 250,Lainnya,1976-07-06,Jl. Pelanggan No. 276,Surabaya,82191714875,user250@email.com
251,Customer 251,Perempuan,1945-05-18,Jl. Pelanggan No. 262,Medan,86698349136,user251@email.com
252,Customer 252,Lainnya,1983-03-01,Jl. Pelanggan No. 34,Yogyakarta,88295757364,user252@email.com
253,Customer 253,Lainnya,2004-11-17,Jl. Pelanggan No. 123,Jakarta,82050032570,user253@email.com
254,Customer 254,Perempuan,1947-11-22,Jl. Pelanggan No. 233,Jakarta,84181102664,user254@email.com
255,Customer 255,Laki-laki,1940-11-10,Jl. Pelanggan No. 71,Jakarta,85998623100,user255@email.com
256,Customer 256,Perempuan,1975-08-04,Jl. Pelanggan No. 265,Yogyakarta,86012067717,user256@email.com
257,Customer 257,Laki-laki,1991-01-08,Jl. Pelanggan No. 138,Bandung,85421051452,user257@email.com
